Payroll,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Payroll Rules,,,,HMRC,,,,,,,,,,,,,
Tax,32%,,,,,,,,,,,,,,,,
Social Security,8%,,,,,,,,,,,,,,,,
Pension,5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Johnny Caine,George Marley,Betty Anan,Paris Winfrey,Ozzy Dickens,Johnny Roberts,Charles Monroe,Ronnie Bush,Michal Jolie,JK Spears,Ozzy Rowling,Oprah Hilton,Bill Biggs,Angelina Osbourne,,,
Hourly Rate, £18.20 , £12.57 , £12.67 , £11.33 , £9.56 , £15.83 , £9.10 , £15.78 , £18.41 , £13.73 , £13.16 , £10.02 , £9.30 , £18.35 ,,,
,,,,,,,,,,,,,,,,,
Hours Worked,,,,,,,,,,,,,,,,,
Monday,9,10,10,10,7,7,7,7,7,7,7,10,8,6,,,
Tuesday,8,9,8,6,10,10,10,7,6,10,7,8,7,9,,,
Wednesday,10,9,8,7,9,8,6,8,7,8,8,6,6,8,,,
Thursday,6,8,6,10,9,7,6,6,7,8,8,6,6,9,,,
Friday,10,7,10,7,9,10,9,8,8,10,8,9,10,6,,,
Total,43,43,42,40,44,42,38,36,35,43,38,39,37,38,,,
,,,,,,,,,,,,,,,,,
Gross, £782.77 , £540.56 , £531.97 , £453.12 , £420.71 , £664.69 , £345.85 , £568.19 , £644.40 , £590.30 , £499.99 , £390.94 , £344.12 , £697.12 ,,,
Tax, £250.48 , £172.98 , £170.23 , £145.00 , £134.63 , £212.70 , £110.67 , £181.82 , £206.21 , £188.90 , £160.00 , £125.10 , £110.12 , £223.08 ,,,
Social Security, £62.62 , £43.24 , £42.56 , £36.25 , £33.66 , £53.18 , £27.67 , £45.46 , £51.55 , £47.22 , £40.00 , £31.28 , £27.53 , £55.77 ,,,
Pension, £39.14 , £27.03 , £26.60 , £22.66 , £21.04 , £33.23 , £17.29 , £28.41 , £32.22 , £29.51 , £25.00 , £19.55 , £17.21 , £34.86 ,,,
Net Pay, £430.52 , £297.31 , £292.58 , £249.21 , £231.39 , £365.58 , £190.22 , £312.51 , £354.42 , £324.66 , £275.00 , £215.02 , £189.26 , £383.41 ,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
